Arrival_Date,Room_Category,Fare_Class,forecast_mu,forecast_sigma,ci_lower_95,ci_upper_95
2025-10-01,Standard,Y3_Low,0.8994327429009314,11.466839154945623,-21.575159022580323,23.374024508382185
2025-10-02,Standard,Y3_Low,0.506125619271331,11.743698447818902,-22.51110038915412,23.52335162769678
2025-10-03,Standard,Y3_Low,2.1813521194836536,12.025501722356651,-21.388198157890848,25.75090239685816
2025-10-04,Standard,Y3_Low,1.5216142295209525,12.430793013937812,-22.84229238278676,25.885520841828665
2025-10-05,Standard,Y3_Low,1.0742747710454286,12.718560992151208,-23.853646714596806,26.00219625668766
2025-10-06,Standard,Y3_Low,0.42711724784821814,12.99649128134326,-25.04553759495107,25.89977209064751
2025-10-07,Standard,Y3_Low,0.5746461188945189,13.283464377726496,-25.460465657479848,26.60975789526889
2025-10-08,Standard,Y3_Low,0.800072588930156,13.562667574803067,-25.782267398211147,27.38241257607146
2025-10-09,Standard,Y3_Low,0.4234442453556437,13.834281840137528,-26.691249919653437,27.538138410364724
2025-10-10,Standard,Y3_Low,2.0154439112822975,14.101204017579162,-25.622408108310168,29.653295930874762
2025-10-11,Standard,Y3_Low,1.3889619427748805,14.46977151882432,-26.971269105299534,29.749192990849295
2025-10-12,Standard,Y3_Low,0.9639903026392476,14.741882595742311,-27.929568656113997,29.85754926139249
2025-10-13,Standard,Y3_Low,0.34858497309110625,15.006311545349666,-29.06324520348393,29.760415149666144
2025-10-14,Standard,Y3_Low,0.48930662370129174,15.278709770836155,-29.456414264405172,30.435027511807757
2025-10-15,Standard,Y3_Low,0.7041653132726061,15.544871332526045,-29.763222649937397,31.171553276482612
2025-10-16,Standard,Y3_Low,0.34625899901840335,15.804894314652854,-30.630764644432446,31.323282642469252
2025-10-17,Standard,Y3_Low,1.861122190821855,16.061170492163964,-29.618193530764238,33.34043791240795
2025-10-18,Standard,Y3_Low,1.2655312652637902,16.406206858383975,-30.890043307628794,33.42110583815637
2025-10-19,Standard,Y3_Low,0.8616381751061356,16.667913367694876,-31.80687173067588,33.530148080888154
2025-10-20,Standard,Y3_Low,0.27658352382555906,16.923153338187156,-32.89218753165379,33.445354579304905
2025-10-21,Standard,Y3_Low,0.4108382989805103,17.185667543059836,-33.27245114360021,34.09412774156122
2025-10-22,Standard,Y3_Low,0.6156202588659732,17.44293796102061,-33.57190993732376,34.80315045505571
2025-10-23,Standard,Y3_Low,0.27552653797863325,17.6950008973883,-34.40603793544511,34.95709101140238
2025-10-24,Standard,Y3_Low,1.717012501397119,17.943933712558263,-33.45245132444441,36.886476327238654
2025-10-25,Standard,Y3_Low,1.150807626740574,18.271451429567893,-34.66057912888926,36.962194382370406
2025-10-26,Standard,Y3_Low,0.7669663417121552,18.52571395744648,-35.54276581129477,37.07669849471908
2025-09-21,Family,Y1_High,1.7482211769064673,2.175421921314638,-2.515527441049727,6.011969794862662
2025-09-22,Family,Y1_High,2.616535438244617,2.2079748169962485,-1.7110156828549958,6.94408655934423
2025-09-23,Family,Y1_High,2.3145357438305645,2.2320010082650916,-2.060105846852702,6.689177334513831
2025-09-24,Family,Y1_High,2.024639133297317,2.267022139945773,-2.4186426141940283,6.467920880788662
2025-09-25,Family,Y1_High,2.4458486465723244,2.2680085275323143,-1.999366385063892,6.891063678208541
2025-09-26,Family,Y1_High,2.1145560981026996,2.28790760960687,-2.369660417734205,6.598772613939604
2025-09-27,Family,Y1_High,2.6179792361103975,2.289839901294745,-1.870024501843257,7.105982974064052
2025-09-28,Family,Y1_High,2.1327996731097616,2.3066476124820796,-2.3881465734413507,6.653745919660874
2025-09-29,Family,Y1_High,2.7092149141333044,2.311172160923344,-1.8205992844110739,7.239029112677683
2025-09-30,Family,Y1_High,2.342399800743364,2.3195984057950474,-2.2039295342783443,6.888729135765072
2025-10-01,Family,Y1_High,2.0636036531913104,2.325567696793917,-2.494425277204167,6.621632583586788
2025-10-02,Family,Y1_High,2.4111417825342825,2.332266921843765,-2.160017387686307,6.982300952754872
2025-10-03,Family,Y1_High,2.118795883475017,2.3386386957205443,-2.4648517340646228,6.702443501014657
2025-10-04,Family,Y1_High,2.56465647117357,2.3449816425000445,-2.0314230936126623,7.160736035959802
2025-10-05,Family,Y1_High,2.1265819739303478,2.355291478229719,-2.4897044975773133,6.742868445438009
